name,title,start,Complete,Duration,cost,variance,planned,actual,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Department of Health and Human Services,CDC PHIN: BioSense,2010,2013,1090,13.206,-3.58,13.204,13.677,,,,,,,,,
Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2010,2013,994,2.4,-14.79,2.4,2.755,,,,,,,,,
Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2010,2013,1013,2.477,10.85,1.585,1.413,,,,,,,,,
Department of Health and Human Services,CMS 5010 Conversion Initiative,2010,2012,1002,17.594,-0.84,17.594,17.742,,,,,,,,,
Department of Health and Human Services,CMS Encounter Data,2009,2015,2191,45.43,-1.49,45.43,46.108,,,,,,,,,
Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2011,2011,157,1,2,1,0.98,,,,,,,,,
Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2011,2013,534,0.65,-14.62,0.65,0.745,,,,,,,,,
Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2011,2012,720,2.5,35.44,2.5,1.614,,,,,,,,,
Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2011,2012,453,16.983,-2.65,16.983,17.433,,,,,,,,,
Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2011,2012,451,6,0,6,6,,,,,,,,,
Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2011,2012,363,7.335,5.56,7.335,6.927,,,,,,,,,
Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2012,2013,421,4,0,4,4,,,,,,,,,
Department of Health and Human Services,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,2012,2013,452,8.76,-4.01,8.73,9.08,,,,,,,,,
Department of Health and Human Services,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems,2012,2013,365,20.164,-1.48,20.164,20.463,,,,,,,,,
Department of Health and Human Services,CMS ICD-10 Initiative,2011,2013,781,42.053,30.89,42.053,29.061,,,,,,,,,
Department of Health and Human Services,CMS Integrated Data Repository (IDR),2011,2013,961,7.558,-52.21,7.556,11.501,,,,,,,,,
Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2012,2012,194,2.41,-2.66,2.41,2.474,,,,,,,,,
Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2011,2012,196,2.641,12.91,2.641,2.3,,,,,,,,,
Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2011,2012,196,2.678,9.37,2.678,2.427,,,,,,,,,
Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2012,2012,196,2.369,-55.34,2.369,3.68,,,,,,,,,
Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2011,2011,83,2.412,1,2.412,2.388,,,,,,,,,
Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2012,2013,388,2.891,0,2.891,2.891,,,,,,,,,
Department of Health and Human Services,CMS Medicaid Data Systems,2010,2014,1751,12.144,-22.41,12.144,14.866,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2010,2011,598,0.491,0,0.491,0.491,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2010,2012,491,0.194,1.04,0.193,0.191,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2011,2012,365,0.662,14.5,0.662,0.566,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2011,2012,365,1.365,-18.65,1.094,1.298,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2010,2012,491,0.506,1.58,0.506,0.498,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2011,2012,365,0.488,-17.44,0.43,0.505,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2011,2012,365,1.163,29.15,1.163,0.824,,,,,,,,,
Department of Health and Human Services,CMS Medicare Appeals System (MAS),2011,2012,365,0.42,0.95,0.419,0.415,,,,,,,,,
Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2011,2012,184,2.02,-50,2.02,3.03,,,,,,,,,
Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2011,2012,395,0.6,-1.5,0.6,0.609,,,,,,,,,
Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2012,2013,721,2.063,0,2.063,2.063,,,,,,,,,
Department of Health and Human Services,FDA CDER Automated Drug Information Management System,2004,2019,5739,150.314,-5.62,59.06,62.38,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2009,2011,992,0.334,2.4,0.334,0.326,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2011,2012,336,0.55,-22.91,0.55,0.676,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2011,2012,336,6.728,-4.49,6.728,7.03,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2010,2012,833,1.644,7.66,1.644,1.518,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2011,2012,365,2.876,-28.44,2.876,3.694,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2009,2011,960,0.786,4.83,0.786,0.748,,,,,,,,,
Department of Health and Human Services,FDA ORA Automated Laboratory Management,2011,2012,361,0.509,-8.66,0.508,0.552,,,,,,,,,
Department of Health and Human Services,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),2009,2013,1562,12.478,0,11.939,11.939,,,,,,,,,
Department of Health and Human Services,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21),2008,2014,2271,13.464,2.63,12.937,12.597,,,,,,,,,
Department of Health and Human Services,FDA CDER MedWatch Plus,2009,2012,1272,45.017,-30.76,17.726,23.178,,,,,,,,,
Department of Health and Human Services,FDA CDER MedWatch Plus,2010,2013,1235,9.056,-524.3,5.893,36.79,,,,,,,,,
Department of Health and Human Services,FDA CDER MedWatch Plus,2012,2013,600,2.755,0,2.755,2.755,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,334,5.192,-2.35,5.192,5.314,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2011,76,0.116,-1.72,0.116,0.118,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,307,1.359,1.03,1.359,1.345,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,364,3.34,-3.74,3.34,3.465,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,417,2.248,-83.85,2.248,4.133,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,364,0.677,-3.55,0.677,0.701,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,364,1.294,0.31,1.294,1.29,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2010,2011,364,2.742,-0.98,2.742,2.769,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,335,4.917,-24.12,4.917,6.103,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,335,1.259,17.41,1.258,1.039,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,185,0.688,10.61,0.688,0.615,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2013,587,1.115,0.1,1.024,1.023,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,365,6.837,0.15,6.837,6.827,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,365,4.376,-14.37,4.376,5.005,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,365,3.585,2.07,3.575,3.501,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2012,365,2.259,4.83,2.259,2.15,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2011,2011,175,4.856,0,4.856,4.856,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2012,2013,365,1.502,0,1.502,1.502,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2012,2013,364,0.546,0,0.546,0.546,,,,,,,,,
Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2012,2013,364,1.155,0,1.155,1.155,,,,,,,,,
Department of Health and Human Services,FDA OC-OIM Operational Infrastructure,2011,2013,939,7.951,0.65,7.951,7.899,,,,,,,,,
Department of Health and Human Services,FDA OC-OIM Operational Infrastructure,2010,2012,731,1.893,-18.21,1.554,1.837,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2012,318,0.507,4.93,0.507,0.482,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2011,259,0.584,2.4,0.584,0.57,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2012,289,0.316,-7.28,0.316,0.339,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2012,336,2.085,-72.23,2.085,3.591,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2012,142,0.275,-10.18,0.275,0.303,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2012,336,1.635,-43.85,1.635,2.352,,,,,,,,,
Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2011,2012,336,0.582,-39.18,0.582,0.81,,,,,,,,,
Department of Health and Human Services,FDA OC User Fee and Financial Reporting Systems,2002,2019,6472,127.127,-10.92,12.454,13.814,,,,,,,,,
Department of Health and Human Services,FDA OC User Fee and Financial Reporting Systems,2004,2019,5524,38.737,-4.42,1.744,1.821,,,,,,,,,
Department of Health and Human Services,FDA OC User Fee and Financial Reporting Systems,2007,2019,4645,24.113,-0.73,1.793,1.806,,,,,,,,,
Department of Health and Human Services,Federal Health Architecture,2004,2014,3805,65.007,2.14,7.71,7.545,,,,,,,,,
Department of Health and Human Services,HHS Unified Financial Management System: Modernization Program,2011,2014,974,10.95,0,10.95,10.95,,,,,,,,,
Department of Health and Human Services,HHS Unified Financial Management System: Modernization Program,2011,2014,1035,6.475,0,6.475,6.475,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,75,0.075,0,0.075,0.075,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2012,478,4.56,-5.57,4.56,4.814,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,30,0.26,-21.15,0.26,0.315,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,241,0.44,-53.41,0.44,0.675,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,266,0.12,0,0.12,0.12,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,268,0.454,76.21,0.454,0.108,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,291,0.93,0,0.93,0.93,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,76,0.93,0,0.93,0.93,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,44,0.394,0,0.394,0.394,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,293,1.2,32.83,1.2,0.806,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,67,0.051,0,0.051,0.051,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,258,0.253,0,0.253,0.253,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,267,0.253,0,0.253,0.253,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2012,520,0.575,-27.65,0.575,0.734,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2012,447,1.6,-16.56,1.6,1.865,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,173,0.823,0,0.823,0.823,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,126,0.332,0,0.332,0.332,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,191,0.037,86.49,0.037,0.0050,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,167,0.497,69.62,0.497,0.151,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,450,0.628,87.1,0.628,0.081,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,415,0.028,-3.57,0.028,0.029,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2012,327,0.06,-40,0.06,0.084,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,450,0.08,-8.75,0.08,0.087,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,302,0.079,0,0.079,0.079,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,364,0.364,6.87,0.364,0.339,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,6,0.208,-58.17,0.208,0.329,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2010,44,0.066,13.64,0.066,0.057,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,42,0.096,83.33,0.096,0.016,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,160,0.198,68.69,0.198,0.062,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2010,2011,361,0.147,-225.85,0.147,0.479,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2012,190,0.126,0,0.126,0.126,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2011,2011,4,0.12,0,0.12,0.12,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,164,0.142,0,0.142,0.142,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,178,0.093,0,0.093,0.093,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,267,0.473,-423.47,0.473,2.476,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,-70,0.18,0,0.18,0.18,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,179,0.072,-12.5,0.072,0.081,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,250,0.169,0,0.169,0.169,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,-53,0.213,33.8,0.213,0.141,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,164,0.074,0,0.074,0.074,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,-53,0.138,15.22,0.138,0.117,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,331,0.084,-1316.67,0.084,1.19,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,133,0.117,0,0.117,0.117,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,5,0.13,1.54,0.13,0.128,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,179,0.33,-15.15,0.33,0.38,,,,,,,,,
Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2012,2012,255,0.505,-91.09,0.505,0.965,,,,,,,,,
Department of Health and Human Services,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements,2010,2013,1358,8.175,-28747.03,8.175,2358.245,,,,,,,,,
Department of Health and Human Services,NIH Business Intelligence System (NBIS),2011,2013,896,5.84,-1.23,5.84,5.912,,,,,,,,,
Department of Health and Human Services,NIH Business Intelligence System (NBIS),2011,2012,715,3.57,0.9,3.57,3.538,,,,,,,,,
Department of Health and Human Services,NIH CC Clinical Research Information System (CRIS),2010,2012,547,1.983,-0.68,1.027,1.034,,,,,,,,,
Department of Health and Human Services,NIH IT Infrastructure,2009,2015,2457,20.108,0.28,20.108,20.051,,,,,,,,,
Department of Health and Human Services,NIH NCI Cancer Therapy Evaluation Program (CTEP),2009,2016,2585,9,2.72,9,8.755,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2010,2012,687,1.455,-2.82,1.455,1.496,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2011,2012,369,0.35,1.71,0.35,0.344,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2010,2012,992,2.674,-2.62,2.674,2.744,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2010,2013,989,0.6,-3.5,0.6,0.621,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2011,2013,641,0.6,-6.67,0.6,0.64,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2011,2013,927,2.12,0.52,2.12,2.109,,,,,,,,,
Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2011,2013,554,0.94,1.06,0.94,0.93,,,,,,,,,
Department of Health and Human Services,NIH OD NIH Business System (NBS),2011,2012,247,1.16,0,1.16,1.16,,,,,,,,,
Department of Health and Human Services,OS ASA Debt Management and Collection System (DMCS),2011,2012,366,0.6,0,0.6,0.6,,,,,,,,,
Department of Health and Human Services,OS ASA Enterprise Human Resources and Personnel (EHRP),2011,2012,628,1.435,0,1.435,1.435,,,,,,,,,
Department of Health and Human Services,OS ASA Enterprise Human Resources and Personnel (EHRP),2010,2014,1481,8.417,0.83,8.417,8.347,,,,,,,,,
Department of Health and Human Services,OS ASA Payment Management System (PMS),2011,2012,572,0.292,0,0.292,0.292,,,,,,,,,
Department of Health and Human Services,OS ONC Nationwide Health Information Network (NwHIN) Exchange,2004,2014,3682,95.907,-0.15,4.82,4.827,,,,,,,,,
Department of Health and Human Services,Secure One HHS,2009,2014,2057,26.17,3.03,26.17,25.377,,,,,,,,,
Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2011,2011,179,0.706,-30.45,0.706,0.921,,,,,,,,,
Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2011,2012,235,0.865,-33.87,0.865,1.158,,,,,,,,,
Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2011,2012,667,1.39,22.73,1.39,1.074,,,,,,,,,
Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2011,2012,232,1.212,-6.85,1.212,1.295,,,,,,,,,
Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2012,2012,155,0.95,-31.16,0.95,1.246,,,,,,,,,
Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2012,2012,263,0.944,29.13,0.944,0.669,,,,,,,,,
Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),2011,2015,1723,249.327,0,68.828,68.828,,,,,,,,,
Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),2011,2015,1723,267.005,0,35.722,35.722,,,,,,,,,
Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2011,2011,190,6.54,19.19,6.54,5.285,,,,,,,,,
Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2011,2012,279,5.034,-6.62,5.034,5.367,,,,,,,,,
Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2011,2012,197,5.034,9.63,5.034,4.549,,,,,,,,,
Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2011,2012,109,5.034,-5.5,5.034,5.311,,,,,,,,,
Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2012,2012,-18,5.034,-2.48,5.034,5.159,,,,,,,,,
Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2012,2013,267,6.558,1.68,6.558,6.448,,,,,,,,,
Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2011,2012,183,1.8,22.11,1.8,1.402,,,,,,,,,
Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2011,2012,598,0.5,0,0.5,0.5,,,,,,,,,
Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2012,2012,154,1.668,39.15,1.668,1.015,,,,,,,,,
Department of Health and Human Services,CDC OID National Healthcare Safety Network (NHSN),2011,2012,459,3.75,0.35,3.75,3.737,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2005,2014,3556,11.168,2.11,11.168,10.932,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2010,2012,618,0.58,-0.17,0.58,0.581,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2009,2013,1759,6.845,-15.69,6.844,7.918,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2005,2013,3034,11.602,0.38,11.601,11.557,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2010,2012,876,1.288,-8.15,1.288,1.393,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2008,2013,1995,22.241,12.17,22.24,19.534,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2010,2012,909,0.731,-47.67,0.73,1.078,,,,,,,,,
Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2012,2013,606,0.45,0,0.45,0.45,,,,,,,,,
Department of Health and Human Services,OS ASPA HHS Web Management Investment,2011,2012,364,2.281,0,2.218,2.218,,,,,,,,,
Department of Health and Human Services,OS ASPA HHS Web Management Investment,2011,2012,396,1.011,0,1.011,1.011,,,,,,,,,
Department of Health and Human Services,OS ASPA HHS Web Management Investment,2011,2012,510,1.836,0,1.434,1.434,,,,,,,,,
Department of Health and Human Services,OS ASPA HHS Web Management Investment,2011,2012,450,0.854,5.97,0.854,0.803,,,,,,,,,
Department of Health and Human Services,OS ASPA HHS Web Management Investment,2011,2012,585,1.474,0,1.473,1.473,,,,,,,,,
Department of Health and Human Services,OS ASPA HHS Web Management Investment,2011,2012,510,0.229,0,0.22,0.22,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,629,1.9,-3.16,1.9,1.96,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,629,1.075,0,1.075,1.075,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,627,2.15,-1.72,2.15,2.187,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,629,0.702,3.13,0.702,0.68,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,567,0.899,-4,0.899,0.935,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,630,0.785,1.15,0.785,0.776,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,626,1.255,-2.07,1.255,1.281,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,566,1.515,-1.12,1.515,1.532,,,,,,,,,
Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2011,2012,567,0.826,-0.61,0.826,0.831,,,,,,,,,
Department of Health and Human Services,CMS National Fraud Prevention Program,2011,2020,3646,170,0,6.581,6.581,,,,,,,,,
Department of Health and Human Services,CMS National Fraud Prevention Program,2011,2020,3434,27,-51.02,2.603,3.931,,,,,,,,,
Department of Health and Human Services,CMS National Fraud Prevention Program,2010,2020,3807,80,0,4,4,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,254,26.03,-0.07,26.03,26.049,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,361,53.04,0.01,53.04,53.037,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,270,20.546,0,20.546,20.546,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,95,23.98,0.01,23.98,23.978,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,545,10.406,-0.74,10.406,10.483,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,95,26.85,0,26.85,26.85,,,,,,,,,
Department of Health and Human Services,CMS Quality Program,2012,2013,359,3.25,-0.18,3.25,3.256,,,,,,,,,
Department of Health and Human Services,CMS Accountable Care Organizations,2011,2014,1007,103.589,-6.98,99.637,106.592,,,,,,,,,
Department of Health and Human Services,CMS Physician Feedback Program,2011,2012,628,1.496,-9.47,1.479,1.619,,,,,,,,,
Department of the Interior,BIA - Loan Management and Accounting System (LOMAS),2011,2012,385,0.021,7.33,0.021,0.01946,,,,,,,,,
Department of the Interior,BIA - Trust Asset Accounting Management System (TAAMS),2011,2012,506,0.2001,0,0.2001,0.2001,,,,,,,,,
Department of the Interior,BIE - Native American Student Information System (NASIS),2011,2012,539,0.087,0,0.087,0.087,,,,,,,,,
Department of the Interior,BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning),2011,2012,631,1.061,0,0.2122,0.2122,,,,,,,,,
Department of the Interior,BOR1-RMSS (Reclamation Mission Support Services),2011,2012,628,2,0,2,2,,,,,,,,,
